Occ_ID,IT_Occupation,Abilities
IT.11.SD.00,Development Engineer,good communication and team working skill
IT.11.SD.00,Development Engineer,critical thinking and problem solving skill
IT.11.SD.00,Development Engineer,positive attitude and excellent team player
IT.11.SD.00,Development Engineer,team player with good interpersonal skill
IT.11.SD.00,Development Engineer,team player with strong communication and interpersonal skill
IT.11.SD.00,Development Engineer,strong project management and organizational skill
IT.11.SD.00,Development Engineer,strong communication and problem solving skill
IT.11.SD.00,Development Engineer,excellent troubleshooting and problem solving skill
IT.11.SD.00,Development Engineer,excellent debugging and problem solving skill
IT.11.SD.00,Development Engineer,passion for learning new technology
IT.11.SD.00,Development Engineer,posse strong written and verbal communication skill
IT.11.SD.00,Development Engineer,ability to work independently and a a member of a team
IT.11.SD.00,Development Engineer,exhibit strong analytical and interpersonal communication skill
IT.11.SD.00,Development Engineer,strong troubleshooting and debugging skill
IT.11.SD.00,Development Engineer,good interpersonal communication and analytical skill
IT.11.SD.00,Development Engineer,exceptional interpersonal and communication skill
IT.11.SD.00,Development Engineer,strong teamwork communication and interpersonal skill
IT.11.SD.00,Development Engineer,good communication analytical and conceptual skill
IT.11.SD.00,Development Engineer,strong communication and teamwork skill
IT.11.SD.00,Development Engineer,work alongside cross functional team to design and implement new functionality
IT.11.SD.00,Development Engineer,excellent command of the english language both written and spoken
IT.11.SD.00,Development Engineer,posse effective communication skill
IT.11.SD.00,Development Engineer,self motivated and team player
IT.11.SD.00,Development Engineer,problem solving skill analytical mind and a positive attitude
IT.11.SD.00,Development Engineer,good team player with positive working attitude
IT.11.SD.00,Development Engineer,good command of spoken and written english
IT.11.SD.00,Development Engineer,strong analytical problem solving skill
IT.11.SD.00,Development Engineer,good interpersonal skill and presentation skill
IT.11.SD.00,Development Engineer,team player with good interpersonal and communication skill
IT.11.SD.00,Development Engineer,strong analytical and problem solving interpersonal skill
IT.11.SD.00,Development Engineer,excellent communication skill and ability to interact with all level of the organisation
IT.11.SD.00,Development Engineer,team player with excellent communication skill
IT.11.SD.00,Development Engineer,good problem solving and communication skill
IT.11.SD.00,Development Engineer,strong analytical and problem solving ability
IT.11.SD.00,Development Engineer,good writing conversational and presentation skill
IT.11.SD.00,Development Engineer,passionate about coding and eager to learn
IT.11.SD.00,Development Engineer,proficient in written and spoken english
IT.11.SD.00,Development Engineer,collaborating with cross functional team to define and design new feature
IT.11.SD.00,Development Engineer,keen and passionate in software engineering
IT.11.SD.00,Development Engineer,a team player with excellent communication skill
IT.11.SD.00,Development Engineer,effective collaboration and communication skill
IT.11.SD.00,Development Engineer,passionate in innovating learning new skill and technology
IT.11.SD.00,Development Engineer,strong troubleshooting and analytical skill
IT.11.SD.00,Development Engineer,good communication skill both verbal and written
