Occ_ID,IT_Occupation,Detailed_Abilities
IT.11.SD.00,Development Engineer,good communication skill both verbal and written
IT.11.SD.00,Development Engineer,strong analytical problem solving skill
IT.11.SD.00,Development Engineer,a team player with excellent communication skill
IT.11.SD.00,Development Engineer,team player with strong communication and interpersonal skill
IT.11.SD.00,Development Engineer,the ability to work both independently and a part of a team
IT.11.SD.00,Development Engineer,good problem solving and communication skill
IT.11.SD.00,Development Engineer,ability to communicate clearly and effectively both verbally and in writing
IT.11.SD.00,Development Engineer,proficient in written and spoken english
IT.11.SD.00,Development Engineer,good interpersonal communication and analytical skill
IT.11.SD.00,Development Engineer,effective collaboration and communication skill
IT.11.SD.00,Development Engineer,strong organisational time management skill
IT.11.SD.00,Development Engineer,strong communication and teamwork skill
IT.11.SD.00,Development Engineer,posse strong analytical problem solving communication and interpersonal skill
IT.11.SD.00,Development Engineer,problem solving skill analytical mind and a positive attitude
IT.11.SD.00,Development Engineer,highly motivated result oriented team player
IT.11.SD.00,Development Engineer,team player with good interpersonal skill
IT.11.SD.00,Development Engineer,good project management and personal organisation skill
IT.11.SD.00,Development Engineer,collaborating with cross functional team to define and design new feature
IT.11.SD.00,Development Engineer,good debugging analytical problem solving and social skill
IT.11.SD.00,Development Engineer,critical thinking and problem solving skill
IT.11.SD.00,Development Engineer,good command of spoken and written english
IT.11.SD.00,Development Engineer,passionate in innovating learning new skill and technology
IT.11.SD.00,Development Engineer,outstanding communication problem solving and interpersonal skill
IT.11.SD.00,Development Engineer,strong troubleshooting and analytical skill
IT.11.SD.00,Development Engineer,good interpersonal skill and presentation skill
IT.11.SD.00,Development Engineer,good interpersonal skill with the ability
IT.11.SD.00,Development Engineer,good communication analytical and conceptual skill
IT.11.SD.00,Development Engineer,positive attitude and excellent team player
IT.11.SD.00,Development Engineer,excellent debugging and problem solving skill
IT.11.SD.00,Development Engineer,posse excellent communication and interpersonal skill
IT.11.SD.00,Development Engineer,strong programming ability in python and c++
IT.11.SD.00,Development Engineer,passionate about coding and eager to learn
IT.07.ITIA.03,Lead Engineer Systems,strong verbal written and interpersonal communication skill
IT.07.ITIA.03,Lead Engineer Systems,strong analytical and problem solving skill with high attention to detail
IT.07.ITIA.03,Lead Engineer Systems,team player with good interpersonal and communication skill
IT.07.ITIA.03,Lead Engineer Systems,strong communication and presentation skill
IT.07.ITIA.03,Lead Engineer Systems,ability to work in a team and independently
IT.07.ITIA.03,Lead Engineer Systems,posse good interpersonal verbal and written communication skill
IT.07.ITIA.03,Lead Engineer Systems,strong interpersonal skill with ability to manage stakeholder
IT.07.ITIA.03,Lead Engineer Systems,excellent team and communication skill
IT.07.ITIA.03,Lead Engineer Systems,must be a team player and have exceptional communication skill
IT.07.ITIA.03,Lead Engineer Systems,strong organisational communication and interpersonal skill
IT.07.ITIA.03,Lead Engineer Systems,team player self motivated result oriented and highly independent
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,excellent communication skill both oral and written
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,strong analytical problem solving skill with an out of box approach in providing solution
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,strong customer service and communication skill
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,good team player with strong interpersonal and communication skill
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,strong communication and collaboration skill
