Occ_ID,IT_Occupation,Knowledge
IT.11.SD.00,Development Engineer,posse strong understanding of object oriented programming especially in php
IT.11.SD.00,Development Engineer,knowledge and experience with rest apis creating api centric microservices application working and connecting with
IT.11.SD.00,Development Engineer,a familiar with programming language c c++ python java or etc
IT.11.SD.00,Development Engineer,expertise with sql and nosql database
IT.11.SD.00,Development Engineer,good understanding of the software development life cycle sdlc
IT.11.SD.00,Development Engineer,deep knowledge of current javascript framework react j and technology typescript
IT.11.SD.00,Development Engineer,proficient understanding of code versioning tool such a git svn and mercurial
IT.11.SD.00,Development Engineer,familiarity with version control tool like git github
IT.11.SD.00,Development Engineer,knowledge and experience with using restful api
IT.11.SD.00,Development Engineer,good understanding of algorithm and data structure
IT.11.SD.00,Development Engineer,strong knowledge of html cs and javascript
IT.11.SD.00,Development Engineer,strong understanding of cross browser compatibility issue
IT.11.SD.00,Development Engineer,solid understanding of the full software development life cycle sdlc
IT.11.SD.00,Development Engineer,strong understanding of micro service architecture
IT.11.SD.00,Development Engineer,familiar with version management tool such a svn and git
IT.11.SD.00,Development Engineer,excellent knowledge of relational database sql
IT.11.SD.00,Development Engineer,strong knowledge and experience in javascript and react
IT.11.SD.00,Development Engineer,knowledge of microservices architecture
IT.11.SD.00,Development Engineer,knowledge of multiple back end language e g java python and javascript framework e g angular react
IT.11.SD.00,Development Engineer,good understanding on microservices architecture and event driven architecture
IT.11.SD.00,Development Engineer,expertise in javascript technology and framework such a react j angular j vue j node j
IT.11.SD.00,Development Engineer,familiar with agile methodology scrum
IT.11.SD.00,Development Engineer,good knowledge of restful apis development
IT.11.SD.00,Development Engineer,basic understanding of object oriented programming
IT.11.SD.00,Development Engineer,strong understanding of front end technology including html5 css3 javascript jquery
IT.11.SD.00,Development Engineer,familiarity with javascript framework such a angular j react
IT.11.SD.00,Development Engineer,good knowledge of javascript html cs
IT.11.SD.00,Development Engineer,knowledge of multiple back end language e g c java python and javascript framework e g angular react node j
IT.11.SD.00,Development Engineer,e knowledge and experience with rest apis creating api centric microservices application working and connecting with api
IT.11.SD.00,Development Engineer,knowledge of agile scrum development methodology is a plus
IT.11.SD.00,Development Engineer,good understanding of the software development lifecycle
IT.11.SD.00,Development Engineer,in depth knowledge of programming language such a c++ c java and script language e g python etc
IT.11.SD.00,Development Engineer,basic knowledge of docker kubernetes
IT.11.SD.00,Development Engineer,good knowledge of test driven development
IT.11.SD.00,Development Engineer,familiar with agile and scrum methodology
IT.11.SD.00,Development Engineer,understanding of basic data structure algorithm
IT.11.SD.00,Development Engineer,good understanding of microservice architecture
