Occ_ID,IT_Occupation,Tasks
IT.11.SD.00,Development Engineer,contribute in all phase of the software development life cycle sdlc
IT.11.SD.00,Development Engineer,writing functional or technical specification
IT.11.SD.00,Development Engineer,design develop test deploy maintain and improve existing software
IT.11.SD.00,Development Engineer,analyse process program specification translate specification to program code conforming to program guideline and programming best practice
IT.11.SD.00,Development Engineer,provide technical support to existing customer
IT.11.SD.00,Development Engineer,perform unit testing and system integration testing
IT.11.SD.00,Development Engineer,build and maintain ci cd pipeline for automated testing and deployment
IT.11.SD.00,Development Engineer,prepare software documentation or and user manual
IT.11.SD.00,Development Engineer,create programming related documentation
IT.11.SD.00,Development Engineer,participate in design and code review
IT.11.SD.00,Development Engineer,provide software technical support to client
IT.11.SD.00,Development Engineer,involve in software development life cycle
IT.11.SD.00,Development Engineer,perform unit testing and system integration testing support user acceptance testing
IT.11.SD.00,Development Engineer,perform unit and integration testing
IT.11.SD.00,Development Engineer,to create technical documentation for user support
IT.11.SD.00,Development Engineer,creating security and data protection setting
IT.11.SD.00,Development Engineer,contributing in all phase of development lifecycle
IT.11.SD.00,Development Engineer,participating in the entire software development life cycle sdlc
IT.11.SD.00,Development Engineer,design develop test deploy maintain and improve the software
IT.11.SD.00,Development Engineer,implementing security and data protection feature
IT.11.SD.00,Development Engineer,write technical design documentation
IT.11.SD.00,Development Engineer,design and develop software application
IT.11.SD.00,Development Engineer,create technical specification documentation
IT.11.SD.00,Development Engineer,worked with scrum agile development methodology
IT.11.SD.00,Development Engineer,support and maintenance of existing application
IT.11.SD.00,Development Engineer,perform unit testing and system integration testing for quality assurance
IT.11.SD.00,Development Engineer,analyze process program specification translate specification to program code
IT.11.SD.00,Development Engineer,setup and maintain ci cd automated testing development and delivery environment
IT.11.SD.00,Development Engineer,software development life cycle sdlc
IT.11.SD.00,Development Engineer,assist in creating functional specification and basic design
IT.11.SD.00,Development Engineer,software design and development for application project
IT.11.SD.00,Development Engineer,ensure the best possible performance quality and responsiveness of the application
IT.11.SD.00,Development Engineer,ensure the best possible performance quality and responsiveness of application
IT.11.SD.00,Development Engineer,contribute in all phase of the development life cycle
IT.11.SD.00,Development Engineer,participate in code review and design review
IT.11.SD.00,Development Engineer,developing software using agile methodology
IT.07.ITIA.03,Lead Engineer Systems,maintain and develop technical documentation and standard operational procedure
IT.07.ITIA.03,Lead Engineer Systems,create and maintain technical documentation
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,provide daily it operation support including
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,liaise with external vendor on technical issue
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,troubleshoot network issue and repair faulty hardware and software
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,assist with procurement of ict equipment
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,provide incident management and problem management
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,provide routine preventive maintenance
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,troubleshoot system and network problem diagnosing and solving hardware and software fault
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,provide pre sale post sale support to customer on our erp software
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,liaising with vendor on it issue and purchase
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,bilingual english and mandarin to liaise with mandarin speaking associate
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,installing and configuring hardware and software
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,providing end user support for any technical issue including but not limited to desktop laptop productivity software printer scanner phone mobile device network and application
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,bilingual in english and mandarin in order to liaise with mandarin speaking associate
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,troubleshoot system and network problem
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,liaising with vendor on 24 hour maintenance and support service on both hard and software in the event of any system failure
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,setting up it infrastructure that includes system network printer and scanner
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,maintain inventory of hardware and software
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,provide technical support to end user on desktop laptop printer handhelds and smartphones etc to customer and project
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,provide helpdesk support to all user
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,ensure compliance to security policy and standard
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,troubleshooting system and network problem and diagnosing and solving hardware or software fault
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,conduct user acceptance testing uat
IT.03.CS.00,Customer Support Engineer Or Customer Success Engineer,committed to meet the service level agreement sla timeline
