Occ_ID,IT_Occupation,Core Skills,,
IT.11.SD.00,Development Engineer,pyspark,,
IT.11.SD.00,Development Engineer,gap analysis,,
IT.11.SD.00,Development Engineer,learning and development,,
IT.11.SD.00,Development Engineer,dxc,,
IT.11.SD.00,Development Engineer,qes,,
IT.11.SD.00,Development Engineer,bitbucket,,
IT.11.SD.00,Development Engineer,docker,,
IT.11.SD.00,Development Engineer,rock,,
IT.11.SD.00,Development Engineer,ssis,,
IT.11.SD.00,Development Engineer,data response,,
IT.11.SD.00,Development Engineer,solution architecture,,
IT.11.SD.00,Development Engineer,risk analysis,,
IT.11.SD.00,Development Engineer,relationship er diagram,,
IT.11.SD.00,Development Engineer,test vision,,
IT.11.SD.00,Development Engineer,esxi,,
IT.11.SD.00,Development Engineer,criterion,,
IT.11.SD.00,Development Engineer,nginx,,
IT.11.SD.00,Development Engineer,presto spark,,
IT.11.SD.00,Development Engineer,poa,,
IT.11.SD.00,Development Engineer,flask,,
IT.11.SD.00,Development Engineer,oracle rdbms,,
IT.11.SD.00,Development Engineer,matlab,,
IT.11.SD.00,Development Engineer,workday,,
IT.11.SD.00,Development Engineer,tea,,
IT.11.SD.00,Development Engineer,database pl sql,,
IT.11.SD.00,Development Engineer,unittest,,
IT.11.SD.00,Development Engineer,performance architecture,,
IT.11.SD.00,Development Engineer,software testing,,
IT.11.SD.00,Development Engineer,tracker,,
IT.11.SD.00,Development Engineer,path planning,,
IT.11.SD.00,Development Engineer,postgresql,,
IT.11.SD.00,Development Engineer,gyroscope,,
IT.11.SD.00,Development Engineer,craft,,
IT.11.SD.00,Development Engineer,performance monitoring,,
IT.11.SD.00,Development Engineer,vhdl,,
IT.11.SD.00,Development Engineer,system conduct,,
IT.11.SD.00,Development Engineer,microsoft access sql,,
IT.11.SD.00,Development Engineer,quality engineering,,
IT.11.SD.00,Development Engineer,psa,,
IT.11.SD.00,Development Engineer,image recognition,,
IT.11.SD.00,Development Engineer,tornado,,
IT.11.SD.00,Development Engineer,rtu,,
IT.11.SD.00,Development Engineer,unix shell scripting,,
IT.11.SD.00,Development Engineer,scipy,,
IT.11.SD.00,Development Engineer,jasmine,,
IT.11.SD.00,Development Engineer,google drive,,
IT.11.SD.00,Development Engineer,apache tomcat,,
IT.11.SD.00,Development Engineer,object detection,,
IT.11.SD.00,Development Engineer,language pl sql,,
IT.11.SD.00,Development Engineer,okta,,
IT.11.SD.00,Development Engineer,restassured,,
IT.11.SD.00,Development Engineer,oozie,,
IT.11.SD.00,Development Engineer,opencv,,
IT.11.SD.00,Development Engineer,dom,,
IT.11.SD.00,Development Engineer,nexus,,
IT.11.SD.00,Development Engineer,objective and compliance,,
IT.11.SD.00,Development Engineer,backbone,,
IT.11.SD.00,Development Engineer,feeling,,
IT.11.SD.00,Development Engineer,centric,,
IT.11.SD.00,Development Engineer,fellow,,
IT.11.SD.00,Development Engineer,microstrategy,,
IT.11.SD.00,Development Engineer,microsoft visual studio,,
IT.11.SD.00,Development Engineer,python software development,,
IT.11.SD.00,Development Engineer,quality build,,
IT.11.SD.00,Development Engineer,oops,,
IT.11.SD.00,Development Engineer,configuration management,,
IT.11.SD.00,Development Engineer,react,,
IT.11.SD.00,Development Engineer,agile methodology,,
IT.11.SD.00,Development Engineer,marketing,,
IT.11.SD.00,Development Engineer,machine translation,,
IT.11.SD.00,Development Engineer,topic conduct,,
IT.11.SD.00,Development Engineer,gst,,
IT.11.SD.00,Development Engineer,manual testing,,
IT.11.SD.00,Development Engineer,presto,,
IT.11.SD.00,Development Engineer,junit,,
IT.11.SD.00,Development Engineer,system platform,,
IT.11.SD.00,Development Engineer,visual studio sql,,
IT.11.SD.00,Development Engineer,rest development,,
IT.11.SD.00,Development Engineer,business strategy,,
IT.11.SD.00,Development Engineer,rust,,
IT.11.SD.00,Development Engineer,git,,
IT.11.SD.00,Development Engineer,talend,,
IT.11.SD.00,Development Engineer,sql server,,
IT.11.SD.00,Development Engineer,apache camel,,
IT.11.SD.00,Development Engineer,epic,,
IT.11.SD.00,Development Engineer,pie,,
IT.11.SD.00,Development Engineer,etl,,
IT.11.SD.00,Development Engineer,graph computing,,
IT.11.SD.00,Development Engineer,jvm,,
IT.11.SD.00,Development Engineer,drone,,
IT.11.SD.00,Development Engineer,html javascript,,
IT.11.SD.00,Development Engineer,fruit,,
IT.11.SD.00,Development Engineer,sql,,
IT.11.SD.00,Development Engineer,j,,
IT.11.SD.00,Development Engineer,principle,,
IT.11.SD.00,Development Engineer,cloud computing,,
IT.11.SD.00,Development Engineer,pair programming,,
IT.11.SD.00,Development Engineer,jsp,,
IT.11.SD.00,Development Engineer,bottle,,
IT.11.SD.00,Development Engineer,impact analysis,,
IT.11.SD.00,Development Engineer,cloudformation,,
IT.11.SD.00,Development Engineer,redux,,
IT.11.SD.00,Development Engineer,governance and audit,,
IT.11.SD.00,Development Engineer,product automate,,
IT.11.SD.00,Development Engineer,extron,,
IT.11.SD.00,Development Engineer,information retrieval,,
IT.11.SD.00,Development Engineer,people management,,
IT.11.SD.00,Development Engineer,keynote,,
IT.11.SD.00,Development Engineer,yen,,
IT.11.SD.00,Development Engineer,mrt,,
IT.11.SD.00,Development Engineer,competitive total,,
IT.11.SD.00,Development Engineer,c++,,
IT.11.SD.00,Development Engineer,gdb,,
